comuna,pacto,partido
MARIA ELENA,CHILE VAMOS,INDEPENDIENTES-LISTA XX
MARIA PINTO,CHILE VAMOS,RENOVACION NACIONAL
MARIQUINA,CHILE VAMOS,INDEPENDIENTES-LISTA XX
MAULE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
MAULLIN,CHILE VAMOS,INDEPENDIENTES-LISTA XX
MEJILLONES,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
MELIPEUCO,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
MELIPILLA,FRENTE AMPLIO,CONVERGENCIA SOCIAL
MOLINA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
MONTE PATRIA,INDEPENDIENTES,INDEPENDIENTES
MOSTAZAL,INDEPENDIENTES,INDEPENDIENTES
MULCHEN,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
NACIMIENTO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
NANCAGUA,INDEPENDIENTES,INDEPENDIENTES
NATALES,INDEPENDIENTES,INDEPENDIENTES
NAVIDAD,CHILE DIGNO VERDE Y SOBERANO,INDEPENDIENTES-LISTA M
NEGRETE,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
NINHUE,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
NOGALES,CHILE VAMOS,INDEPENDIENTES-LISTA XX
NUEVA IMPERIAL,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
O'HIGGINS,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
OLIVAR,CHILE VAMOS,INDEPENDIENTES-LISTA XX
OLLAGUE,INDEPENDIENTES,INDEPENDIENTES
OLMUE,DIGNIDAD AHORA,PARTIDO HUMANISTA
OSORNO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
OVALLE,INDEPENDIENTES,INDEPENDIENTES
PADRE HURTADO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
PADRE LAS CASAS,INDEPENDIENTES,INDEPENDIENTES
PAIHUANO,CHILE VAMOS,RENOVACION NACIONAL
PAILLACO,INDEPENDIENTES,INDEPENDIENTES
PAINE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
PALENA,CHILE VAMOS,RENOVACION NACIONAL
PALMILLA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PANGUIPULLI,INDEPENDIENTES,INDEPENDIENTES
PANQUEHUE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PAPUDO,CHILE VAMOS,RENOVACION NACIONAL
PAREDONES,CHILE VAMOS,RENOVACION NACIONAL
PARRAL,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
PEDRO AGUIRRE CERDA,INDEPENDIENTES,INDEPENDIENTES
PELARCO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
PELLUHUE,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
PEMUCO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
PENCAHUE,INDEPENDIENTES,INDEPENDIENTES
PENCO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PERALILLO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
PERQUENCO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
PETORCA,INDEPENDIENTES,INDEPENDIENTES
PEUMO,INDEPENDIENTES,INDEPENDIENTES
PEÑAFLOR,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
PEÑALOLEN,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
