comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
La Serena,68172,91678,1015,2867,64682,93187,2203,6457,260599,15450,0.05928800605494077,Unidad Por El Apruebo,Partido Radical De Chile,1,58715,29557,29158,50.34,49.66,250141,6088,1383,10996,50540,89235,90164,1735,12.9,12.8
La Union,8166,21795,199,392,14511,14434,484,1156,39640,3431,0.08654895810147722,Unidad Por El Apruebo,Partido Socialista De Chile,3,7954,3835,4119,48.21,51.79,38907,1279,206,1668,12464,14054,9115,121,10.8,11
Lago Ranco,1996,6035,69,159,4509,3608,212,417,10287,1273,0.1237322296459419,Chile Vamos,Renovacion Nacional,3,2271,1118,1153,49.23,50.77,10527,514,48,421,4228,3558,1714,44,9.7,9.9
Lago Verde,249,533,9,13,327,265,33,65,913,8,0.008747026712438896,Chile Vamos,Union Democrata Independiente,3,183,93,90,50.82,49.18,779,58,1,20,269,301,127,3,9.3,9.9
Laguna Blanca,158,347,3,4,194,224,9,14,257,6,0.02250673905537242,Unidad Por El Apruebo,Partido Socialista De Chile,3,58,37,21,63.79,36.21,269,7,0,2,53,121,76,10,11.4,13.3
Laja,4796,13154,141,204,8895,8496,283,639,23909,2693,0.1126259380668065,Independientes,Independientes,3,4855,2332,2523,48.03,51.97,23706,1133,165,1062,7282,8757,5269,38,10.7,10.7
Lampa,22301,37708,334,893,28083,34068,805,2093,137016,6779,0.04947952348252533,Independientes,Independientes,2,35261,17393,17868,49.33,50.67,145160,6357,996,8506,35588,51956,40657,1100,12.1,12.3
Lanco,4157,9222,120,253,6182,6852,267,657,17906,705,0.03936703602337878,Unidad Por El Apruebo,Partido Socialista De Chile,3,3400,1602,1798,47.12,52.88,16876,574,63,763,5370,6741,3296,69,10.7,10.8
Las Cabras,6245,13236,169,235,8762,10557,445,858,27350,2072,0.07577006188229371,Unidos Por La Dignidad,Partido Progresista De Chile,3,5623,2821,2802,50.17,49.83,27554,1248,107,1131,9644,10973,4377,74,10.1,10.5
Las Condes,46740,168948,983,2077,143008,66535,1655,4377,339547,3088,0.009093252219182184,Chile Vamos,Union Democrata Independiente,1,69287,34179,35108,49.33,50.67,296134,5200,756,13095,30477,47186,196279,3141,16.2,15.3
Lautaro,6800,22527,159,469,15794,12985,503,1326,41460,3654,0.08813353056098992,Unidos Por La Dignidad,Independientes-Lista Xu,1,9009,4358,4651,48.37,51.63,41936,1661,182,1983,12805,16317,8791,197,10.9,11
Lebu,4292,14260,147,251,9189,8667,348,828,27138,2856,0.1052461122573942,Unidos Por La Dignidad,Independientes-Lista Xu,1,5261,2570,2691,48.85,51.15,25246,973,163,1092,8885,9218,4890,25,10.3,10.6
Licanten,2012,4032,42,77,2719,2931,117,303,6994,514,0.07352908912802301,Independientes,Independientes,3,1522,743,779,48.82,51.18,6892,225,27,323,2343,2481,1484,9,10.4,10.9
Limache,13136,22659,250,674,15790,19694,559,1452,51006,3508,0.0687725825529546,Chile Vamos,Renovacion Nacional,1,11650,5831,5819,50.05,49.95,56145,1576,432,2585,13115,20933,17005,499,12.1,12.1
Linares,20437,52116,353,976,36058,34656,939,2848,102909,9117,0.08859195521691694,Chile Vamos,Renovacion Nacional,2,19597,9143,10454,46.66,53.34,96744,2743,503,4675,28031,35823,24563,406,11.3,11.6
Litueche,2153,4159,59,129,3060,3357,156,389,6886,645,0.09372233190652567,Chile Vamos,Union Democrata Independiente,3,1874,917,957,48.93,51.07,8852,364,45,360,3055,3222,1785,21,10.4,10.8
Llanquihue,4058,10345,85,186,6622,7222,280,656,18775,1111,0.05916948740219628,Unidos Por La Dignidad,Partido Democrata Cristiano,1,3856,1941,1915,50.34,49.66,18088,622,61,818,5565,6694,4256,72,11,11
Llay Llay,8497,10476,121,293,6989,11497,288,688,27021,2482,0.09185904888894914,Unidos Por La Dignidad,Partido Democrata Cristiano,1,5185,2549,2636,49.16,50.84,25484,804,160,1292,7611,9983,5554,80,10.8,11.2
Lo Barnechea,12340,60927,221,572,54206,18846,531,1351,128997,1165,0.009028313249676453,Chile Vamos,Union Democrata Independiente,1,23088,11472,11616,49.69,50.31,112620,2252,324,6220,20211,23843,57923,1847,15.1,14.4
Lo Espejo,36771,36987,473,1402,22446,45527,937,2768,102145,6927,0.067816947929765,Chile Digno Verde Y Soberano,Partido Comunista De Chile,1,19640,9976,9664,50.79,49.21,87295,2894,706,3910,24474,40853,13903,555,10.8,10.6
Lo Prado,36115,36585,405,1228,24161,44409,663,2469,103390,5507,0.05326684737949042,Unidad Por El Apruebo,Partido Por La Democracia,1,20605,10595,10010,51.42,48.58,91290,2496,765,3495,22217,40633,21124,560,11.5,11.2
Lolol,1603,4728,63,82,2997,3033,187,292,7396,848,0.1145996711178917,Independientes,Independientes,3,1678,846,832,50.42,49.58,7791,520,29,278,2917,2692,1345,10,9.7,10
Loncoche,5066,13599,138,338,8812,9318,342,777,24780,3042,0.1227706099754267,Independientes,Independientes,3,5217,2507,2710,48.05,51.95,25158,836,146,1112,8607,9900,4402,155,10.4,10.4
Longavi,4858,20257,122,307,14911,9977,378,1024,33333,3870,0.1161055510284763,Chile Vamos,Union Democrata Independiente,3,7259,3550,3709,48.9,51.1,33299,1646,120,1378,13958,11758,4355,84,9.2,9.7
Lonquimay,1716,6564,80,156,4439,3223,236,486,11091,2036,0.1836051616650008,Unidos Por La Dignidad,Independientes-Lista Xu,1,2072,1030,1042,49.71,50.29,10247,656,47,465,4191,3365,1471,52,9.6,9.6
Los Alamos,3013,12837,83,276,8395,7150,249,741,22801,2532,0.1110636110482628,Chile Vamos,Union Democrata Independiente,2,4414,2088,2326,47.3,52.7,21950,1037,114,1034,7881,8118,3734,32,10,10.3
Los Andes,19104,28906,251,732,18467,28167,473,1691,68637,5579,0.0812767492126049,Chile Vamos,Union Democrata Independiente,1,13571,6825,6746,50.29,49.71,63440,1516,361,2827,13771,25288,19308,369,12.4,12.2
Los Angeles,30777,117768,686,1793,88495,58431,1864,5122,221851,18753,0.08453032224259051,Unidad Por El Apruebo,Partido Radical De Chile,1,46588,22655,23933,48.63,51.37,219441,7824,1345,10166,58457,81470,59420,759,11.7,11.8
Los Lagos,3908,11871,102,162,8079,7130,303,668,20525,1382,0.06734383166378613,Chile Digno Verde Y Soberano,Partido Comunista De Chile,3,4314,2104,2210,48.77,51.23,21431,938,103,993,7444,8361,3544,48,10.3,10.3
Los Muermos,2405,11937,148,182,8518,5181,424,646,17826,2076,0.116458852845239,Chile Vamos,Union Democrata Independiente,3,3697,1894,1803,51.23,48.77,17162,734,46,618,7501,5702,2538,23,9.4,9.7
Los Sauces,971,5080,41,71,3790,2002,108,231,7494,1301,0.1735602636652928,Chile Vamos,Union Democrata Independiente,3,1566,792,774,50.57,49.43,7348,421,22,366,3074,2422,1024,19,9.1,9.6
Los Vilos,6910,9135,122,302,5437,9876,296,720,24015,2030,0.08452426527605875,Independientes,Independientes,2,4524,2190,2334,48.41,51.59,22879,892,124,1167,6895,8678,5052,71,10.9,11.1
Lota,12268,26260,220,751,15050,20973,478,1907,45553,3834,0.08415915034083185,Independientes,Independientes,3,9144,4350,4794,47.57,52.43,39980,1251,298,1654,12040,16002,8677,58,11,10.6
Lumaco,1458,6009,36,88,4526,2412,160,248,9959,2138,0.2146869468141867,Chile Vamos,Independientes-Lista Xx,3,1929,1006,923,52.15,47.85,9253,682,26,390,4212,2971,940,32,8.6,8.7
Machali,13167,22659,185,542,16300,20059,408,1285,62947,1915,0.03042403007836555,Independientes,Independientes,2,15081,7155,7926,47.44,52.56,60875,1659,284,3151,12994,16828,25581,378,13.6,13.3
Macul,42799,42945,472,1384,31248,51636,897,2489,137336,4772,0.03474735460906117,Independientes,Independientes,1,30103,14918,15185,49.56,50.44,123800,2482,559,4782,19761,38084,57135,997,13.6,13.4
Mafil,1379,4718,43,78,3237,2629,105,274,7387,529,0.07160232668735984,Unidad Por El Apruebo,Partido Por La Democracia,1,1630,799,831,49.02,50.98,8074,289,24,360,2588,3144,1657,12,10.7,10.8
Maipu,179105,171044,1641,5327,123529,219874,3045,11054,585951,19051,0.03251240739781768,Frente Amplio,Revolucion Democratica,1,115870,59338,56532,51.21,48.79,503635,11088,2776,18888,92445,193038,182394,3006,12.9,12.6
Malloa,3157,8390,81,134,5521,5577,197,478,14257,1396,0.09792245885499484,Unidad Por El Apruebo,Independientes-Lista K,3,2970,1478,1492,49.76,50.24,13882,531,84,586,5118,5114,2440,9,10,10.5
Marchihue,2106,4596,66,108,3162,3425,175,316,7684,703,0.09152807931565488,Dignidad Ahora,Partido Humanista,3,1937,958,979,49.46,50.54,8715,528,20,379,3042,3122,1605,19,9.9,10.3
Maria Elena,1399,2026,23,85,990,2084,39,162,6647,369,0.05551379624560721,Chile Vamos,Independientes-Lista Xx,1,1162,581,581,50,50,4834,152,9,205,1047,2308,1099,14,12.1,11.9
Maria Pinto,4173,7104,75,160,5451,5801,227,481,15382,1125,0.07313724231518924,Chile Vamos,Renovacion Nacional,1,3071,1512,1559,49.23,50.77,15352,537,69,738,4920,5894,3147,47,10.7,11
Mariquina,4708,11665,115,171,7393,8599,380,699,23720,1863,0.07853280025599274,Chile Vamos,Independientes-Lista Xx,1,4782,2307,2475,48.24,51.76,22973,815,87,1239,7624,8978,4044,186,10.5,10.7
Maule,6627,17955,114,406,13488,12607,322,1092,65590,5951,0.09072496036521659,Unidos Por La Dignidad,Partido Democrata Cristiano,2,14350,6583,7767,45.87,54.13,61081,1909,309,3670,16449,22294,16160,290,11.7,12.1
Maullin,3061,9056,121,181,6213,5205,420,608,14796,1879,0.1269646823510594,Chile Vamos,Independientes-Lista Xx,3,3526,1822,1704,51.67,48.33,15063,537,25,521,6308,5620,2043,9,9.6,9.8
Mejillones,3430,4823,53,146,2874,5245,120,348,15502,1107,0.07139740441053531,Unidad Por El Apruebo,Partido Por La Democracia,1,3722,1835,1887,49.3,50.7,14084,518,70,791,3613,6588,2439,65,11.5,11.4
Melipeuco,1293,3982,55,100,2831,2221,134,243,6299,987,0.1566905777888791,Unidad Por El Apruebo,Independientes-Lista K,3,1360,672,688,49.41,50.59,6796,259,8,294,2586,2411,1212,26,10.1,10.4
Melipilla,30691,59386,543,1410,42388,46286,1283,3462,146241,11073,0.07571759130661093,Frente Amplio,Convergencia Social,1,30253,15133,15120,50.02,49.98,136325,5556,734,6373,38487,53062,31245,868,11.1,11.4
Molina,11611,24426,186,559,15828,19305,464,1641,51200,4030,0.07871885879024679,Unidos Por La Dignidad,Partido Democrata Cristiano,1,10014,4993,5021,49.86,50.14,48949,1836,291,2381,15744,19312,9172,213,10.5,10.7
Monte Patria,7213,16159,191,392,8778,13230,525,1043,32649,4169,0.127703937398395,Independientes,Independientes,3,6204,3064,3140,49.39,50.61,29997,1407,117,1180,12546,10861,3848,38,9.4,9.8
Mostazal,7521,12132,138,330,7753,11778,271,863,28147,2059,0.0731439871895892,Independientes,Independientes,1,5780,2841,2939,49.15,50.85,27394,1021,165,1221,8218,11125,5590,54,10.9,11
Mulchen,4984,17436,162,310,12233,9341,429,919,31099,3782,0.1216238491587788,Unidos Por La Dignidad,Partido Democrata Cristiano,1,5864,2908,2956,49.59,50.41,29036,1353,162,1233,10403,11298,4556,31,10,10.2
Nacimiento,4759,16081,143,261,11267,8860,335,731,28003,3073,0.109726027871444,Chile Vamos,Union Democrata Independiente,3,5308,2573,2735,48.47,51.53,26140,1245,152,1208,7959,9763,5781,32,10.8,10.7
Nancagua,4336,9703,99,186,6239,7406,256,529,19498,1738,0.08911187203227197,Independientes,Independientes,1,3887,1956,1931,50.32,49.68,18723,697,100,881,6413,7307,3238,87,10.4,10.6
Natales,6256,9013,142,274,5653,9363,363,978,24339,755,0.03103493984765365,Independientes,Independientes,2,5588,2810,2778,50.29,49.71,24152,505,105,1184,6276,9242,6705,135,11.6,11.9
Navidad,2696,3838,79,162,2622,3859,128,398,7050,868,0.1231394137656237,Chile Digno Verde Y Soberano,Independientes-Lista M,3,1836,935,901,50.93,49.07,8885,315,37,377,2917,3081,2149,9,10.7,11.2
Negrete,1272,6676,45,121,4782,3086,139,307,10527,1047,0.09945547522983768,Unidad Por El Apruebo,Partido Radical De Chile,3,2244,1119,1125,49.87,50.13,10723,545,45,468,3885,4007,1756,17,9.8,10.1
Ninhue,1015,3944,32,99,2750,1863,110,268,5377,867,0.1612982869088716,Unidos Por La Dignidad,Independientes-Lista Xu,3,1374,677,697,49.27,50.73,5763,280,12,194,2642,1749,884,2,9,9.6
Niquen,1674,7919,48,123,5821,3576,151,450,11543,1598,0.1384196963915372,Chile Vamos,Union Democrata Independiente,3,2999,1540,1459,51.35,48.65,12797,634,63,424,5656,4441,1549,30,9,9.5
Nogales,7215,10079,155,306,5837,10849,272,803,23603,1313,0.05562038074395192,Chile Vamos,Independientes-Lista Xx,3,4505,2168,2337,48.12,51.88,22136,758,158,858,6507,9349,4347,159,10.9,10.7
Nueva Imperial,7504,18191,147,400,12300,12518,431,1204,34018,4364,0.1282838681912552,Unidos Por La Dignidad,Partido Democrata Cristiano,3,6677,3276,3401,49.06,50.94,33988,1521,172,1673,11313,13066,6111,132,10.1,10.5
Nunoa,84762,83326,781,1992,66010,99317,1606,3839,261138,3888,0.01488843954831383,Frente Amplio,Revolucion Democratica,2,63953,30972,32981,48.43,51.57,241467,3974,649,9493,23243,41547,160410,2151,15.8,15.3
O'Higgins,136,289,5,2,203,184,6,17,672,62,0.09157446235094517,Unidos Por La Dignidad,Partido Democrata Cristiano,1,165,73,92,44.24,55.76,647,30,3,35,195,209,173,2,11,12.2
Olivar,3414,8092,92,218,5340,5942,169,492,14869,1184,0.07963365547352402,Chile Vamos,Independientes-Lista Xx,1,2934,1442,1492,49.15,50.85,13901,480,53,565,4359,4920,3505,19,11.1,11.3
Ollague,197,707,9,10,364,435,14,17,277,24,0.08721221547732894,Independientes,Independientes,2,57,29,28,50.88,49.12,256,9,0,5,84,103,51,4,11.6,9.9
Olmue,5056,10029,94,354,7067,7663,229,675,19878,1490,0.07496697583142214,Dignidad Ahora,Partido Humanista,2,3875,1902,1973,49.08,50.92,19778,583,155,843,5288,7401,5376,132,11.4,11.7
Osorno,40396,79430,661,1897,53387,62977,1544,5076,175275,10799,0.06161340893619202,Unidos Por La Dignidad,Partido Democrata Cristiano,1,35969,17856,18113,49.64,50.36,166455,4641,934,7404,43185,60864,48422,1005,11.9,11.8
Ovalle,28559,50875,581,1345,32294,44772,1423,3469,123252,11719,0.09508512477369883,Independientes,Independientes,1,25606,12683,12923,49.53,50.47,118696,3737,613,5318,34924,47960,25269,875,11.1,11.2
Padre Hurtado,20640,24920,225,703,18638,28743,504,1592,78847,2882,0.03655584922106305,Unidad Por El Apruebo,Partido Socialista De Chile,2,19048,9414,9634,49.42,50.58,81243,3039,452,4274,19204,29694,24109,471,12.3,12.2
Padre Las Casas,14444,38379,322,854,26164,25478,947,2458,84144,10688,0.1270210990427323,Independientes,Independientes,1,17775,8675,9100,48.8,51.2,80656,3134,336,3864,24585,31724,16771,242,11,11
Paihuano,1534,2837,31,71,1851,2296,87,170,4695,389,0.08291957569137363,Chile Vamos,Renovacion Nacional,3,1063,522,541,49.11,50.89,4649,112,14,201,1394,1874,1030,24,10.9,11.5
Paillaco,4029,12022,97,184,8203,7456,256,656,20889,1343,0.06430781984936271,Independientes,Independientes,3,4056,1933,2123,47.66,52.34,19802,802,104,849,6813,7476,3683,75,10.2,10.4
Paine,19030,32860,306,768,24285,27572,683,1858,86258,5059,0.05865172168423877,Chile Vamos,Union Democrata Independiente,1,17250,8632,8618,50.04,49.96,78828,2731,521,3657,22835,29391,19058,635,11.3,11.4
Palena,407,973,13,9,669,564,52,75,1821,166,0.09120230295373533,Chile Vamos,Renovacion Nacional,3,406,202,204,49.75,50.25,1903,77,6,80,696,618,423,3,10.1,10.9
Palmilla,2804,7100,58,118,4896,4810,168,395,13484,1095,0.08119808758839814,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2809,1373,1436,48.88,51.12,13060,518,51,506,4844,5070,2037,34,9.9,10.2
Panguipulli,7144,20314,238,504,13547,13159,580,1408,36145,3686,0.1019868755754151,Independientes,Independientes,3,7086,3464,3622,48.89,51.11,35098,1710,123,1495,12775,12551,6272,172,10.2,10.2
Panquehue,2142,3917,34,86,2556,3422,89,211,7762,737,0.09489930883376847,Unidos Por La Dignidad,Partido Democrata Cristiano,2,1475,710,765,48.14,51.86,7269,238,47,296,2351,2923,1380,34,10.6,10.8
Papudo,2310,3603,31,53,2650,3281,51,152,6357,461,0.07253834912471409,Chile Vamos,Renovacion Nacional,3,1528,787,741,51.51,48.49,7561,219,29,331,2172,2918,1870,22,11.3,11.7
Paredones,2120,4154,57,78,2647,3237,179,248,6298,941,0.1493725761650852,Chile Vamos,Renovacion Nacional,3,1760,908,852,51.59,48.41,7228,512,39,261,2942,2411,1048,15,9,9.5
Parral,7817,25868,157,395,18129,14380,459,1536,45211,4194,0.09277406472763614,Chile Vamos,Union Democrata Independiente,3,9189,4307,4882,46.87,53.13,45323,1960,273,2029,15563,16066,9362,70,10.4,10.7
Pedro Aguirre Cerda,42205,34737,416,1341,23512,48897,831,2663,106065,5805,0.05473172882253488,Independientes,Independientes,1,20601,10558,10043,51.25,48.75,96062,2558,583,3968,23054,42426,22764,709,11.5,11.4
Pelarco,1786,6258,37,116,4519,3425,106,393,9289,1094,0.1177984450149211,Chile Vamos,Union Democrata Independiente,3,1934,978,956,50.57,49.43,9229,479,36,390,3359,3391,1503,71,9.7,10.4
Pelluhue,1695,5372,30,106,4062,2688,92,302,8311,1063,0.1278868865740387,Unidos Por La Dignidad,Independientes-Lista Xu,2,1744,852,892,48.85,51.15,8578,401,37,357,3042,2782,1920,39,10.4,11
Pemuco,1698,5519,41,94,4202,2730,111,293,8605,1636,0.1901762109141105,Chile Vamos,Independientes-Lista Xx,3,1946,956,990,49.13,50.87,8930,415,22,384,3458,3276,1348,27,9.6,10.1
Penaflor,30730,35173,338,1076,23870,40405,702,2240,104684,7672,0.07328609476344701,Unidos Por La Dignidad,Partido Democrata Cristiano,1,20714,10443,10271,50.42,49.58,94402,2683,522,4215,21631,36803,27967,581,12.2,12.1
Penalolen,78867,85994,1045,2723,59163,99139,1710,5783,271089,8788,0.03241671332301811,Unidos Por La Dignidad,Partido Democrata Cristiano,1,53130,27063,26067,50.94,49.06,236478,5529,1480,9876,54604,84422,78945,1622,12.5,12.3
Pencahue,2065,7216,44,97,4837,3821,130,427,8622,1008,0.1168547056300677,Independientes,Independientes,3,2035,1049,986,51.55,48.45,9181,521,25,390,3373,3133,1736,3,9.8,10.4
Penco,14094,23333,211,614,14564,21883,466,1462,50090,3032,0.06053313693193336,Unidos Por La Dignidad,Partido Democrata Cristiano,1,10511,5186,5325,49.34,50.66,48971,1374,285,2200,12410,18939,13698,65,11.8,11.7
Peralillo,2880,6520,71,153,4458,4685,188,409,12061,866,0.07181502243009433,Unidad Por El Apruebo,Partido Socialista De Chile,3,2688,1310,1378,48.74,51.26,12493,519,46,545,4206,4737,2419,21,10.3,10.7
Perquenco,1454,4341,47,96,2948,2616,121,297,7259,1027,0.1414140149910871,Unidad Por El Apruebo,Partido Por La Democracia,3,1564,758,806,48.47,51.53,7438,320,24,296,2661,2932,1184,21,10.1,10.2
Petorca,3492,4465,89,164,2404,5168,143,383,10606,481,0.04537729044804171,Independientes,Independientes,3,2160,1043,1117,48.29,51.71,10206,449,30,423,3244,3983,2058,19,10.3,10.7
Peumo,4230,7395,102,142,4275,7006,224,447,15001,1158,0.07718469751227644,Independientes,Independientes,3,2956,1443,1513,48.82,51.18,14243,543,44,553,4785,5793,2512,13,10.3,10.6
Pica,1519,3013,31,54,2127,2220,66,140,6184,664,0.1073139711951238,Chile Vamos,Independientes-Lista Xx,1,1397,662,735,47.39,52.61,6272,188,31,401,1751,2678,1203,20,11.6,11.5
Pichidegua,4496,11354,95,158,7562,7948,297,606,20969,2290,0.1092073031580498,Unidos Por La Dignidad,Partido Democrata Cristiano,3,4367,2120,2247,48.55,51.45,20363,863,95,844,7882,7472,3153,54,9.7,10.2
Pichilemu,5939,9576,106,285,6918,8223,255,648,18463,1269,0.06872415195130183,Independientes,Independientes,2,4415,2098,2317,47.52,52.48,19847,795,65,905,5209,6766,5923,184,11.6,11.9
Pinto,1759,8774,60,125,7096,3217,116,452,12064,1239,0.1026716429003472,Chile Vamos,Union Democrata Independiente,3,2767,1329,1438,48.03,51.97,12502,456,58,496,4320,4650,2469,53,10.2,10.7
Pirque,9152,12762,137,311,9405,12172,250,735,32041,879,0.0274316427999483,Unidad Por El Apruebo,Independientes-Lista K,1,5940,2986,2954,50.27,49.73,29060,809,120,1395,6749,9771,9977,239,12.4,12.6
Pitrufquen,4827,14374,124,288,10092,8945,315,804,26418,2820,0.1067562143921306,Chile Vamos,Renovacion Nacional,3,5454,2545,2909,46.66,53.34,27041,833,104,1276,8342,10436,5853,197,10.8,11.1
Placilla,2192,5504,58,110,3498,3957,150,380,9244,887,0.09593949771363816,Unidos Por La Dignidad,Partido Democrata Cristiano,1,1933,989,944,51.16,48.84,9438,354,34,436,3463,3487,1628,36,10.1,10.5
Portezuelo,1172,3666,27,61,2662,1915,94,191,4899,740,0.1511123302857005,Chile Vamos,Renovacion Nacional,3,1281,625,656,48.79,51.21,5203,207,13,192,2338,1610,840,3,9.1,9.6
Porvenir,1543,2233,22,51,1445,2245,62,206,7528,273,0.03627486931911551,Independientes,Independientes,1,1603,843,760,52.59,47.41,6809,136,10,383,1911,2589,1769,11,11.5,11.9
Pozo Almonte,2367,6704,33,128,4104,4712,137,353,18290,2805,0.1533439714492286,Unidos Por La Dignidad,Partido Democrata Cristiano,1,3994,2136,1858,53.48,46.52,16878,640,48,1042,4770,7485,2784,109,11.3,11.1
Primavera,213,289,3,1,171,234,11,19,684,9,0.01296169787156448,Unidos Por La Dignidad,Partido Democrata Cristiano,3,107,59,48,55.14,44.86,431,8,0,18,144,180,81,0,10.5,11.5
Providencia,50318,72935,645,1288,56186,60244,1299,2370,162013,2142,0.01321907454820707,Chile Vamos,Union Democrata Independiente,2,39102,19223,19879,49.16,50.84,143974,2243,319,5541,10966,18593,105493,819,16.5,15.9
Puchuncavi,6746,9059,114,304,6622,9700,214,693,20785,685,0.032935928149776,Chile Vamos,Independientes-Lista Xx,3,4480,2178,2302,48.62,51.38,22539,643,140,986,5762,8863,5942,203,11.6,11.7
Pucon,7936,15980,175,454,11686,11809,399,1066,30373,2477,0.08156309193863791,Chile Vamos,Renovacion Nacional,2,7096,3435,3661,48.41,51.59,32321,969,97,1513,8348,11528,9597,269,12,12.1
Pudahuel,74007,76792,776,2565,52898,94763,1571,5160,259195,11317,0.04366049437083934,Dignidad Ahora,Igualdad,1,51989,26389,25600,50.76,49.24,227820,6565,1556,9452,53360,92810,62459,1618,12,11.8
Puente Alto,181627,174696,1792,6708,121877,230478,3447,13229,661900,33344,0.05037591991445491,Chile Vamos,Renovacion Nacional,1,131977,67299,64678,50.99,49.01,568086,14777,3913,24508,124822,221227,175200,3639,12.3,12.2
Puerto Montt,52451,114287,1074,2456,79495,86193,3041,7183,276525,17963,0.06496075205539688,Unidad Por El Apruebo,Partido Socialista De Chile,1,67830,34425,33405,50.75,49.25,277040,7519,1271,13937,69366,100513,82641,1793,12.1,12.1
Puerto Octay,2342,5183,59,119,3251,4006,130,350,9108,686,0.0752986706991756,Unidad Por El Apruebo,Independientes-Lista K,3,1960,1011,949,51.58,48.42,8865,329,28,342,3432,3207,1490,37,10,10.2
Puerto Varas,11453,27756,195,472,20641,17345,639,1382,50272,1063,0.02114984096160757,Independientes,Independientes,2,12901,6238,6663,48.35,51.65,52942,1432,223,3104,12627,15008,20116,432,13,12.9
Pumanque,1085,2656,26,42,1767,1818,89,167,3523,436,0.1236410123484773,Independientes,Independientes,3,1017,516,501,50.74,49.26,4559,239,12,143,1855,1489,818,3,9.6,10
Punitaqui,2988,6113,75,162,3555,5182,188,455,12396,1793,0.1446494802443967,Independientes,Independientes,2,2300,1111,1189,48.3,51.7,12076,573,84,465,4622,4575,1728,29,9.8,10
Punta Arenas,36882,54624,693,1648,35461,52805,1664,4396,144415,5055,0.03500057934797781,Chile Vamos,Renovacion Nacional,2,29595,14648,14947,49.49,50.51,132363,2174,716,6190,27711,49803,44727,1042,12.6,12.5
Puqueldon,946,2317,49,42,1286,1726,119,162,4192,744,0.177582537963943,Unidos Por La Dignidad,Independientes-Lista Xu,2,859,446,413,51.92,48.08,4048,103,10,141,1893,1353,537,11,9.9,9.3
Puren,1993,7922,68,141,5785,3607,179,379,12136,1571,0.1294895634365,Unidad Por El Apruebo,Partido Por La Democracia,3,2525,1194,1331,47.29,52.71,12184,513,74,624,4763,4239,1947,24,9.5,9.9
Purranque,3958,12371,108,204,8329,7151,302,701,21006,1804,0.08589213148773951,Unidos Por La Dignidad,Partido Democrata Cristiano,3,4119,1976,2143,47.97,52.03,19542,673,88,835,7308,6839,3748,51,10.2,10.3
Putaendo,5085,7674,101,189,4701,7531,205,578,17884,1793,0.10026670029428,Independientes,Independientes,3,3494,1696,1798,48.54,51.46,17336,582,102,768,4887,6834,4084,79,11,11.4
Putre,602,1983,12,35,939,944,12,80,2152,158,0.07345577825952668,Independientes,Independientes,1,346,190,156,54.91,45.09,1547,79,2,71,476,629,276,14,10.7,9.8
Puyehue,2592,7568,64,138,5008,4884,197,422,11806,1129,0.09566143393676237,Chile Vamos,Union Democrata Independiente,3,2566,1268,1298,49.42,50.58,11712,505,51,414,4294,4409,2015,24,10.1,10.3
Queilen,1385,2972,57,57,1818,2228,193,211,5544,680,0.1225810557964359,Unidos Por La Dignidad,Partido Democrata Cristiano,2,1175,578,597,49.19,50.81,5690,211,26,225,2577,1777,869,5,9.5,9.6
Quellon,5192,13584,213,263,8625,9686,677,869,29791,2685,0.09011758946437072,Unidos Por La Dignidad,Partido Democrata Cristiano,1,6537,3299,3238,50.47,49.53,28460,1250,90,1349,10766,10785,4072,148,10.1,10.3
Quemchi,1841,4724,119,121,3126,3149,287,304,8764,1085,0.1237815143860561,Unidad Por El Apruebo,Independientes-Lista K,3,1805,946,859,52.41,47.59,8409,251,19,288,3852,2888,1107,4,9.4,9.6
Quilaco,860,2888,22,29,2070,1575,52,122,4182,545,0.1302699543346095,Unidos Por La Dignidad,Independientes-Lista Xu,3,963,481,482,49.95,50.05,4440,193,15,179,1676,1709,657,11,9.6,10
Quilicura,60931,66324,837,2302,44389,81450,1603,4587,268706,14033,0.05222290357877869,Frente Amplio,Independientes-Lista Xs,1,49733,25225,24508,50.72,49.28,205624,5827,1395,9097,43685,83557,60775,1288,12.4,12.2
Quilleco,1470,6721,53,109,4851,3026,123,342,10006,1349,0.1348236293186302,Independientes,Independientes,3,2138,1040,1098,48.64,51.36,9700,440,34,370,3447,3883,1510,16,9.8,10.1
Quillon,3242,11185,128,184,8071,6179,270,634,19102,3050,0.159685311127159,Unidos Por La Dignidad,Partido Democrata Cristiano,3,4205,2065,2140,49.11,50.89,19165,771,55,734,6688,7152,3668,97,10.2,10.3
Quillota,24371,41314,363,1216,28418,35504,900,2821,99694,5282,0.05297922431878745,Independientes,Independientes,1,21216,10743,10473,50.64,49.36,96753,2381,658,4374,22715,36703,29187,735,12,12.1
