comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
Cabildo,6292,9537,128,253,5475,9659,274,639,20747,1853,0.089311136082706,Unidos Por La Dignidad,Partido Democrata Cristiano,1,4051,2008,2043,49.57,50.43,20015,828,119,909,6357,7874,3896,32,10.4,10.8
Cabo de Hornos(Ex-Navarino),298,813,0,2,559,426,11,28,1977,23,0.01186221304315507,Unidos Por La Dignidad,Partido Democrata Cristiano,2,489,254,235,51.94,48.06,1750,19,1,167,363,467,722,11,13.6,13.7
Cabrero,4554,18448,159,306,12764,9873,408,1007,30973,3206,0.1035195465766158,Independientes,Independientes,3,6611,3247,3364,49.12,50.88,31256,1485,95,1258,10072,12096,6231,19,10.5,10.6
Calama,29751,72479,521,1996,44658,54405,1165,4495,194772,15861,0.08143143364954893,Chile Digno Verde Y Soberano,Federacion Regionalista Verde Social,1,40525,20504,20021,50.6,49.4,166334,6260,770,6947,35489,69100,46192,1576,12.5,12.2
Calbuco,6813,19262,253,400,12569,12345,855,1322,37293,3174,0.08510298443700641,Independientes,Independientes,1,7571,3848,3723,50.83,49.17,36474,1465,91,1567,14521,13013,5726,91,9.9,10
Caldera,5993,7000,104,190,4658,8055,181,547,19782,813,0.04111121416646405,Unidad Por El Apruebo,Partido Por La Democracia,1,3980,2015,1965,50.63,49.37,18805,466,81,933,4725,7719,4726,155,11.6,11.8
Calera,16599,21650,255,730,13770,23379,517,1570,53820,3817,0.07091313623489373,Independientes,Independientes,1,10873,5435,5438,49.99,50.01,50631,1499,344,2294,12880,21055,12202,357,11.4,11.4
Calera de Tango,7078,13256,126,274,9682,9963,262,604,29640,1033,0.0348457722236984,Chile Vamos,Union Democrata Independiente,1,5404,2774,2630,51.33,48.67,25491,770,117,1078,6386,9078,7900,162,12.1,12.1
Calle Larga,3839,6820,57,158,4120,6490,115,347,17225,1205,0.06996361770481122,Unidad Por El Apruebo,Partido Socialista De Chile,2,3622,1746,1876,48.21,51.79,16597,482,92,813,4450,6532,4164,64,11.7,11.9
Camarones,571,1269,10,32,682,850,13,55,1242,156,0.1258451737359476,Unidos Por La Dignidad,Partido Democrata Cristiano,3,217,104,113,47.93,52.07,861,45,4,19,272,383,137,1,9.9,10.1
Camina,202,1432,6,15,890,417,10,37,1380,332,0.2403646850427617,Independientes,Independientes,1,248,106,142,42.74,57.26,1335,91,4,78,614,437,109,2,9.1,8.7
Canela,3482,4113,89,113,2784,4440,206,304,9535,1555,0.1631210174806921,Chile Digno Verde Y Soberano,Partido Comunista De Chile,3,2073,1026,1047,49.49,50.51,9639,662,20,287,4316,3051,1280,23,9.1,9
Canete,5615,19848,180,347,14091,10387,366,1175,37296,4950,0.1327324636700346,Chile Vamos,Renovacion Nacional,2,7025,3237,3788,46.08,53.92,34640,1779,154,1453,12476,11954,6783,41,10.2,10.4
Carahue,4753,14560,160,271,9885,8275,405,950,25516,4571,0.1791262112929498,Chile Vamos,Union Democrata Independiente,3,4850,2432,2418,50.14,49.86,24957,1243,118,1088,9850,8973,3555,130,9.4,9.8
Cartagena,6924,9966,106,313,7284,10155,232,717,26416,1961,0.0742176240862708,Unidad Por El Apruebo,Partido Por La Democracia,3,4728,2253,2475,47.65,52.35,24599,801,164,947,6966,11073,4470,178,10.8,10.9
Casablanca,6814,13624,134,382,9484,10942,298,877,30028,2468,0.08220609441285881,Frente Amplio,Revolucion Democratica,1,6281,3182,3099,50.66,49.34,29876,884,176,1488,7797,11713,7535,283,11.5,11.7
Castro,12453,21064,278,545,13670,18231,792,1735,48336,1559,0.03226115623962791,Chile Vamos,Independientes-Lista Xx,2,10772,5155,5617,47.86,52.14,46997,1196,287,1945,13569,17820,11870,310,11.6,11.5
Catemu,3595,7294,86,153,4453,6133,207,423,15528,1870,0.1204219901044855,Independientes,Independientes,2,2789,1342,1447,48.12,51.88,13760,453,67,607,4503,5791,2293,46,10.2,10.6
Cauquenes,5927,26604,179,397,19459,12004,419,1335,44334,5130,0.1157221024864185,Independientes,Independientes,3,8492,3930,4562,46.28,53.72,42798,1893,238,1889,14436,15530,8723,89,10.2,10.7
Cerrillos,25821,30327,337,840,20714,32624,597,1758,89907,4701,0.05228701117757076,Independientes,Independientes,1,19939,10008,9931,50.19,49.81,85041,2444,717,4159,19804,34537,22327,1053,11.9,11.7
Cerro Navia,46196,49983,571,1584,31696,58753,1173,3420,141122,8486,0.06013533802509001,Independientes,Independientes,1,29126,14872,14254,51.06,48.94,127250,4464,1081,5600,35861,58217,20807,1220,10.8,10.6
Chaiten,859,2251,48,33,1523,1343,134,176,5052,452,0.08950986712718918,Unidad Por El Apruebo,Independientes-Lista K,2,876,447,429,51.03,48.97,4025,187,6,145,1514,1280,831,62,10.3,10.6
Chanaral,4477,4730,67,154,2808,5797,127,367,13094,1501,0.1146199488480459,Unidad Por El Apruebo,Partido Radical De Chile,1,2589,1374,1215,53.07,46.93,12345,329,104,643,3409,5301,2493,66,11.2,11.3
Chanco,1605,6546,47,97,4812,2700,132,424,9287,1329,0.1431555836782915,Unidad Por El Apruebo,Partido Radical De Chile,3,2103,1073,1030,51.02,48.98,9446,491,19,352,4242,2933,1408,1,9.1,9.7
Chepica,3024,9665,82,154,6911,5294,257,555,16080,1426,0.08865056438840242,Unidad Por El Apruebo,Partido Socialista De Chile,3,3252,1590,1662,48.89,51.11,15668,838,87,640,5933,5546,2618,6,9.6,10.1
Chiguayante,23653,37090,365,1140,24276,34360,736,2625,91687,5236,0.05710676982139559,Unidad Por El Apruebo,Partido Socialista De Chile,1,18764,9311,9453,49.62,50.38,85822,2010,467,3610,17525,29206,32760,244,13,12.7
Chile Chico,1448,1948,31,47,1305,1886,108,170,5143,319,0.06202078241138624,Independientes,Independientes,2,1060,512,548,48.3,51.7,4905,151,15,241,1594,1611,1266,27,10.8,11.2
Chillan,42861,92845,702,1785,67861,65176,1645,4919,202038,21239,0.1051217978621383,Unidad Por El Apruebo,Partido Por La Democracia,1,40612,19930,20682,49.07,50.93,190382,5183,1175,8769,44228,67752,62416,859,12.3,12.3
Chillan Viejo,6182,15036,105,294,11033,10149,297,853,34933,2985,0.08546019802774647,Independientes,Independientes,1,7023,3443,3580,49.02,50.98,32688,957,212,1517,8418,13300,8171,113,11.5,11.7
Chimbarongo,7853,20253,193,412,12948,14375,426,1355,38164,3254,0.08525440862625479,Chile Vamos,Independientes-Lista Xx,3,7734,3833,3901,49.56,50.44,37258,1418,232,1728,13498,13946,6378,58,10.1,10.5
Cholchol,2479,6990,66,184,4701,4503,174,583,12539,2469,0.1968788132237581,Independientes,Independientes,1,2542,1239,1303,48.74,51.26,13167,717,41,621,5048,4757,1935,48,9.6,9.9
