nombre_comuna,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022
Quilicura,268706,14033,0.05222290357877869
Quinta Normal,140381,3017,0.02149306262533348
Recoleta,195514,10048,0.05139075533829257
Renca,162638,8555,0.05259981245097571
San Joaquín,103586,5013,0.0483953477287964
San Miguel,140870,3061,0.02172713863999223
San Ramón,84926,5845,0.0688212635197568
Vitacura,97546,869,0.008910462349418486
Puente Alto,661900,33344,0.05037591991445491
Pirque,32041,879,0.0274316427999483
San José De Maipo,19211,901,0.04689598567114111
Colina,191338,9775,0.05108815662595628
Lampa,137016,6779,0.04947952348252533
Tiltil,22110,1339,0.06056984286123209
San Bernardo,343570,20568,0.05986493034340202
Buin,114827,5107,0.04447211428019435
Calera De Tango,29640,1033,0.0348457722236984
Paine,86258,5059,0.05865172168423877
Melipilla,146241,11073,0.07571759130661093
Alhué,7691,739,0.09612156911785098
Curacaví,37653,2258,0.05996458962717061
María Pinto,15382,1125,0.07313724231518924
San Pedro,12336,1739,0.1409629534176342
Talagante,84153,5268,0.06260472900926935
El Monte,41392,2929,0.07076505082053658
Isla De Maipo,41550,2668,0.06421486711607165
Padre Hurtado,78847,2882,0.03655584922106305
Peñaflor,104684,7672,0.07328609476344701
Valdivia,180022,6170,0.03427153340337798
Corral,5427,412,0.07590002571204192
Lanco,17906,705,0.03936703602337878
Los Lagos,20525,1382,0.06734383166378613
Máfil,7387,529,0.07160232668735984
Mariquina,23720,1863,0.07853280025599274
Paillaco,20889,1343,0.06430781984936271
Panguipulli,36145,3686,0.1019868755754151
La Unión,39640,3431,0.08654895810147722
Futrono,15228,1418,0.09314674753172754
Lago Ranco,10287,1273,0.1237322296459419
Río Bueno,32950,1885,0.05719854029049724
Arica,253909,23195,0.09135003106037655
Camarones,1242,156,0.1258451737359476
Putre,2152,158,0.07345577825952668
General Lagos,668,142,0.212383442279538
Chillán,202038,21239,0.1051217978621383
Bulnes,22711,2894,0.1274120374413699
Chillán Viejo,34933,2985,0.08546019802774647
El Carmen,12263,1830,0.1492478148913714
Pemuco,8605,1636,0.1901762109141105
Pinto,12064,1239,0.1026716429003472
Quillón,19102,3050,0.159685311127159
San Ignacio,16621,2616,0.1573774854850437
Yungay,18748,2031,0.1083309460468144
Quirihue,12228,950,0.07766195598490269
Cobquecura,5248,1000,0.1905337466302314
Coelemu,16888,2203,0.1304629702648099
Ninhue,5377,867,0.1612982869088716
Portezuelo,4899,740,0.1511123302857005
Ránquil,6285,1054,0.1677266580250115
Treguaco,5747,985,0.1714588534791126
San Carlos,56782,7775,0.1369243569248478
Coihueco,28817,3887,0.1348855952670668
Ñiquén,11543,1598,0.1384196963915372
San Fabián,4738,709,0.1495704128715382
San Nicolás,12365,1333,0.1077681430225962
